mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q116693,Есянь,Point(-21.651530003 64.259992602),914,вулканические горные породы
http://www.wikidata.org/entity/Q117414,Pic Chaussy,Point(7.112777777 46.377111111),2351,осадочная горная порода
http://www.wikidata.org/entity/Q120306,Логан,Point(-140.405277777 60.567222222),5959,гранит
http://www.wikidata.org/entity/Q123157,Mountain Telomoyo,Point(110.4 -7.37),1894,андезит
http://www.wikidata.org/entity/Q126063,Ауянтепуи,Point(-62.5499729 5.9008721),2500,песчаник
http://www.wikidata.org/entity/Q126717,Mountain Telagabodas,Point(108.07 -7.208),2201,базальт
http://www.wikidata.org/entity/Q233836,Охос-дель-Саладо,Point(-68.542222222 -27.109444444),6893,андезит
http://www.wikidata.org/entity/Q235062,Галерас,Point(-77.366666666 1.216666666),4276,андезит
http://www.wikidata.org/entity/Q235539,Уитни,Point(-118.291944444 36.578611111),4421,гранит
http://www.wikidata.org/entity/Q235844,Pointe de Bellevue,Point(6.8875 46.2575),2041,осадочная горная порода
http://www.wikidata.org/entity/Q238147,Пик Орисаба,Point(-97.27 19.03),5636,андезит
http://www.wikidata.org/entity/Q247726,Вассеркуппе,Point(9.937777777 50.498055555),950,базальт
http://www.wikidata.org/entity/Q248276,Корковадо,Point(-72.792777777 -43.193055555),2300,базальт
http://www.wikidata.org/entity/Q248770,Ревентадор,Point(-77.656111111 -0.076944444),3562,андезит
http://www.wikidata.org/entity/Q252081,Гуальятири,Point(-69.089722222 -18.423611111),6071,андезит
http://www.wikidata.org/entity/Q255599,Hochglück,Point(11.5717 47.374),2573,известняк
http://www.wikidata.org/entity/Q255743,Хохваннер,Point(11.054166666 47.395833333),2744,осадочная горная порода
http://www.wikidata.org/entity/Q257696,Piz da las Trais Linguas,Point(10.452166666 46.531888888),2843,метаморфическая горная порода
http://www.wikidata.org/entity/Q263100,Eiskögele,Point(12.655731 47.099868),3423,кристаллические сланцы
http://www.wikidata.org/entity/Q267646,Адамс,Point(-121.490894444 46.202411111),3743,андезит
http://www.wikidata.org/entity/Q267646,Адамс,Point(-121.490894444 46.202411111),3743.4,андезит
http://www.wikidata.org/entity/Q272593,Сахама,Point(-68.883055555 -18.108055555),6542,андезит
http://www.wikidata.org/entity/Q275435,Рас-Дашэн,Point(38.3725 13.236666666),4533,базальт
http://www.wikidata.org/entity/Q275662,Маунт-Худ,Point(-121.695833333 45.373611111),3425,магматические горные породы
http://www.wikidata.org/entity/Q275662,Маунт-Худ,Point(-121.695833333 45.373611111),11237,магматические горные породы
http://www.wikidata.org/entity/Q1139060,Пик-дю-Миди-де-Бигорр,Point(0.141111111 42.937222222),2877,кристаллические сланцы
http://www.wikidata.org/entity/Q1139840,Puntiagudo-Cordón Cenizos,Point(-72.263888888 -40.969444444),2493,андезит
http://www.wikidata.org/entity/Q1140310,Mickle Fell,Point(-2.305 54.613469444),788,известняк
http://www.wikidata.org/entity/Q1142540,Crêt Pela,Point(6.0222 46.4136),1495,известняк
http://www.wikidata.org/entity/Q1142545,Crêt de la Neuve,Point(6.221666666 46.523333333),1495,известняк
http://www.wikidata.org/entity/Q1143188,Mount Talinis,Point(123.166666666 9.25),1862,андезит
http://www.wikidata.org/entity/Q1145648,Stožec,Point(14.586666666 50.838055555),665,базальт
http://www.wikidata.org/entity/Q1146222,Скофел-Пайк,Point(-3.211527777 54.454166666),978,магматические горные породы
http://www.wikidata.org/entity/Q1146256,Flatirons,Point(-105.293 39.9883),2286,песчаник
http://www.wikidata.org/entity/Q1147754,Großer Kaserer,Point(11.6575 47.0603),3263,гранит
http://www.wikidata.org/entity/Q1149310,Суфриер (Бас-Тер),Point(-61.6634 16.0438),1467,базальт
http://www.wikidata.org/entity/Q1149310,Суфриер (Бас-Тер),Point(-61.6634 16.0438),1467,андезит
http://www.wikidata.org/entity/Q1149310,Суфриер (Бас-Тер),Point(-61.6634 16.0438),1467,Липарит
http://www.wikidata.org/entity/Q1149310,Суфриер (Бас-Тер),Point(-61.6634 16.0438),1467,Дацит
http://www.wikidata.org/entity/Q1154029,Rocca Bernauda,Point(6.62666667 45.10305556),3225,кварц
http://www.wikidata.org/entity/Q1156519,Даббаху,Point(40.48 12.595),1442,базальт
http://www.wikidata.org/entity/Q1157724,Дайти,Point(19.925555555 41.365833333),1613,известняк
http://www.wikidata.org/entity/Q1158934,Lancebranlette,Point(6.856296 45.685528),2936,известняк
http://www.wikidata.org/entity/Q1158934,Lancebranlette,Point(6.856296 45.685528),2936,Мергель
http://www.wikidata.org/entity/Q1162079,Маунт-Бо-Бо-Алпайн-Резорт,Point(146.266666666 -37.833333333),1567,Гранодиорит
http://www.wikidata.org/entity/Q700271,Plechý / Plöckenstein,Point(13.857222222 48.771111111),1379,гранит
http://www.wikidata.org/entity/Q701820,Монте Граппа,Point(11.799166666 45.873333333),1742,известняк
http://www.wikidata.org/entity/Q703922,Драхенфельс,Point(7.209722222 50.665277777),320.7,трахит
http://www.wikidata.org/entity/Q713836,Ивате,Point(141.00111111 39.8525),2038.2,базальт
http://www.wikidata.org/entity/Q713847,Каймон,Point(130.528333333 31.18),924,базальт
http://www.wikidata.org/entity/Q713847,Каймон,Point(130.528333333 31.18),924,андезит
http://www.wikidata.org/entity/Q713857,Иваки,Point(140.306667 40.653333),1624.7,андезит
http://www.wikidata.org/entity/Q714555,Раусу,Point(145.1225 44.075833333),1660,андезит
http://www.wikidata.org/entity/Q714564,Сяри,Point(144.718055555 43.765555555),1547,андезит
http://www.wikidata.org/entity/Q722940,Malý Ľadový štít,Point(20.182427777 49.196519444),2603,гранит
http://www.wikidata.org/entity/Q723698,Zadný Gerlach,Point(20.132222222 49.165833333),2616,гранит
http://www.wikidata.org/entity/Q727831,Vardenik,Point(22.2675 42.6267),1875,глина
http://www.wikidata.org/entity/Q729243,Dent de Crolles,Point(5.855278 45.308333),2062,известняк
http://www.wikidata.org/entity/Q731916,Монте-Пеллегрино,Point(13.351388888 38.17),606,известняк
http://www.wikidata.org/entity/Q732115,Монсеррат,Point(1.811495 41.605376),1236,Конгломерат
http://www.wikidata.org/entity/Q733975,Božídarský Špičák,Point(12.888888888 50.400833333),1116,базальт
http://www.wikidata.org/entity/Q277809,Мон-Тандр,Point(6.31 46.594722222),1679,известняк
http://www.wikidata.org/entity/Q281277,Öfnerspitze,Point(10.3487798 47.3175062),2575,доломит
http://www.wikidata.org/entity/Q281277,Öfnerspitze,Point(10.3487798 47.3175062),2576,доломит
http://www.wikidata.org/entity/Q288383,Эджком,Point(-135.75 57.05),3201,андезит
http://www.wikidata.org/entity/Q289542,Монаднок,Point(-72.108055555 42.860833333),965,кристаллические сланцы
http://www.wikidata.org/entity/Q298119,Эрайвайёкюдль,Point(-16.642063888 64.025436111),2110,базальт
http://www.wikidata.org/entity/Q298119,Эрайвайёкюдль,Point(-16.642063888 64.025436111),2110,Липарит
http://www.wikidata.org/entity/Q302276,Монпельрен,Point(6.819247222 46.496877777),1080,осадочная горная порода
http://www.wikidata.org/entity/Q303806,Аавасакса,Point(23.725325 66.397816),242,плутон
http://www.wikidata.org/entity/Q306201,Девилс-Тауэр,Point(-104.715277777 44.590277777),5112,фонолит
http://www.wikidata.org/entity/Q312929,Вьедма (вулкан),Point(-73.283333333 -49.358333333),1500,Дацит
http://www.wikidata.org/entity/Q626222,Mont Gerbier de Jonc,Point(4.220275 44.84462222),1551,фонолит
http://www.wikidata.org/entity/Q633612,Mount Murud,Point(115.333333333 3.916666666),2423,песчаник
http://www.wikidata.org/entity/Q634065,Lastarria,Point(-68.5 -25.166666666),5697,андезит
http://www.wikidata.org/entity/Q641588,Ареналь (вулкан),Point(-84.703333333 10.4625),1670,андезит
http://www.wikidata.org/entity/Q648551,Уила,Point(-76.033333333 2.933333333),5364,андезит
http://www.wikidata.org/entity/Q650402,Hornisgrinde,Point(8.2025 48.606944444),1164.4,песчаник
http://www.wikidata.org/entity/Q656001,Cuernos del Diablo,Point(-72.0059 -41.3646),1862,базальт
http://www.wikidata.org/entity/Q657937,Penyal d'Ifac Natural Park,Point(0.07444444 38.63472222),332,известняк
http://www.wikidata.org/entity/Q658484,Broken Top,Point(-121.699761111 44.082894444),2797,андезит
