mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q1738421,Kelčský Javorník,122.0713,Чехия,
http://www.wikidata.org/entity/Q1771083,Staffelberg,30000,Германия,
http://www.wikidata.org/entity/Q1777280,Акиллбег,1.319,Ирландия,
http://www.wikidata.org/entity/Q1785796,Kozí vrch,32.9888,Чехия,
http://www.wikidata.org/entity/Q1786056,Снежник,85,Словения,
http://www.wikidata.org/entity/Q1789113,Marjan,340,Хорватия,
http://www.wikidata.org/entity/Q1827581,Lipská hora,22.7571,Чехия,
http://www.wikidata.org/entity/Q1858048,Умбой,930,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q1869839,Лопеви,29,Вануату,
http://www.wikidata.org/entity/Q1885375,Майцзишань,483.71,Китай,
http://www.wikidata.org/entity/Q1885375,Майцзишань,1259.28,Китай,
http://www.wikidata.org/entity/Q1888667,Манам,83,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q1925983,Mettermich,40000,Германия,
http://www.wikidata.org/entity/Q1950593,Манталингахан,120457,Филиппины,
http://www.wikidata.org/entity/Q2731450,Seaforth Island,2.73,Великобритания,
http://www.wikidata.org/entity/Q2733631,Кожуф,1000,Греция,
http://www.wikidata.org/entity/Q2733631,Кожуф,1000,Северная Македония,
http://www.wikidata.org/entity/Q2746323,Гометра,425,Великобритания,
http://www.wikidata.org/entity/Q2797881,Burgfels Reichenstein NE von Stadlern,12000,Германия,
http://www.wikidata.org/entity/Q2838771,Gaalgebierg,63,Люксембург,
http://www.wikidata.org/entity/Q2839442,Cerro del Viso,5612,Испания,
http://www.wikidata.org/entity/Q2884862,Barouk,27.62,Ливан,
http://www.wikidata.org/entity/Q2886832,Los Cerros de Alcalá,806.8,Испания,
http://www.wikidata.org/entity/Q2894533,Beljanica,309,Сербия,известняк
http://www.wikidata.org/entity/Q2899922,Bessillon,22,Франция,осадочная горная порода
http://www.wikidata.org/entity/Q2915766,Туран (Израиль),1195,Израиль,
http://www.wikidata.org/entity/Q2956713,Santa Isabel,0.29,Колумбия,андезит
http://www.wikidata.org/entity/Q2956713,Santa Isabel,0.35,Колумбия,андезит
http://www.wikidata.org/entity/Q2975215,Кончагуита,8.45,Сальвадор,
http://www.wikidata.org/entity/Q2994323,Монгун-Тайга,1589,Россия,
http://www.wikidata.org/entity/Q2994323,Монгун-Тайга,84510,Россия,
http://www.wikidata.org/entity/Q2997213,Cordón de Puntas Negras,500,Чили,
http://www.wikidata.org/entity/Q3005663,Црвань,280,Босния и Герцеговина,
http://www.wikidata.org/entity/Q3010659,Côte d'Or,945,Франция,
http://www.wikidata.org/entity/Q3028369,Serra da Gardunha,59.3526,Португалия,
http://www.wikidata.org/entity/Q3028369,Serra da Gardunha,5935260,Португалия,
http://www.wikidata.org/entity/Q3042478,Белоградчикские скалы,641.31,Болгария,
http://www.wikidata.org/entity/Q3115145,Q3115145,100,Канада,осадочная горная порода
http://www.wikidata.org/entity/Q3297651,Q3297651,65,Франция,известняк
http://www.wikidata.org/entity/Q2273949,Serra del Montsià,5302.36498,Испания,
http://www.wikidata.org/entity/Q2284502,Moto Sierra de Neiba,183,Доминиканская Республика,
http://www.wikidata.org/entity/Q2305090,Томорр,24.72,Албания,
http://www.wikidata.org/entity/Q2313794,Бабокивари,8.32,США,
http://www.wikidata.org/entity/Q2330837,Монкайо,11157.92437,Испания,
http://www.wikidata.org/entity/Q2377452,Малешево,500,Болгария,
http://www.wikidata.org/entity/Q2377452,Малешево,500,Северная Македония,
http://www.wikidata.org/entity/Q2428328,Вакакуса,33,Япония,
http://www.wikidata.org/entity/Q2472707,Sierra del Carche,59.42,Испания,
http://www.wikidata.org/entity/Q2474096,Uhlandshöhe,0.41,Германия,
http://www.wikidata.org/entity/Q2528645,Vitberget,0.56,Швеция,
http://www.wikidata.org/entity/Q2528645,Vitberget,719.353,Швеция,
http://www.wikidata.org/entity/Q2528645,Vitberget,772.59,Швеция,
http://www.wikidata.org/entity/Q2528645,Vitberget,773.17,Швеция,
http://www.wikidata.org/entity/Q2582535,Wilsenroth,2.71,Германия,
http://www.wikidata.org/entity/Q3848980,Парагильмен,5,Украина,
http://www.wikidata.org/entity/Q3861168,Monte Adranone,890647,Италия,
http://www.wikidata.org/entity/Q3861452,Чимино,57.54,Италия,
http://www.wikidata.org/entity/Q3861452,Чимино,87.96,Италия,
http://www.wikidata.org/entity/Q3861687,Monte Linas,1000,Италия,
http://www.wikidata.org/entity/Q3483464,Sierra de la Contraviesa,600,Испания,
http://www.wikidata.org/entity/Q3486391,Skuleberget,0,Швеция,Рапакиви
http://www.wikidata.org/entity/Q3486391,Skuleberget,152.966,Швеция,Рапакиви
http://www.wikidata.org/entity/Q3486391,Skuleberget,224.36,Швеция,Рапакиви
http://www.wikidata.org/entity/Q3496884,Svrčinník,220.539,Словакия,
http://www.wikidata.org/entity/Q3498313,Cordillera del Cóndor,25857,Перу,
http://www.wikidata.org/entity/Q3498313,Cordillera del Cóndor,25857,Эквадор,
http://www.wikidata.org/entity/Q3515817,Tarso Yega,960,Чад,
http://www.wikidata.org/entity/Q3538089,Трара,1250,Алжир,
http://www.wikidata.org/entity/Q3562540,Vojnik,140,Черногория,осадочная горная порода
http://www.wikidata.org/entity/Q3861951,Monte Kronio,100,Италия,
http://www.wikidata.org/entity/Q3861951,Monte Kronio,101,Италия,
http://www.wikidata.org/entity/Q3890729,Тепе-Кермен,5,Украина,
http://www.wikidata.org/entity/Q4087581,Бицзяшань,1.2,Китай,
http://www.wikidata.org/entity/Q4143428,Гора Клементьева,84,Россия,
http://www.wikidata.org/entity/Q4143428,Гора Клементьева,84,Украина,
http://www.wikidata.org/entity/Q4992097,Hoverberget,0,Швеция,
http://www.wikidata.org/entity/Q4992097,Hoverberget,135.266,Швеция,
http://www.wikidata.org/entity/Q4992097,Hoverberget,136.69,Швеция,
http://www.wikidata.org/entity/Q5180664,Craig-y-llyn,115.07,Великобритания,
http://www.wikidata.org/entity/Q4216843,Кастель (гора),15,Украина,
http://www.wikidata.org/entity/Q4220548,Tell Kashish,10,Израиль,
http://www.wikidata.org/entity/Q4234399,Кортумова гора (парк),63,Украина,
http://www.wikidata.org/entity/Q4240085,Кременец (гора),176,Украина,
http://www.wikidata.org/entity/Q4574494,Raipas,0.01,Норвегия,
http://www.wikidata.org/entity/Q4574494,Raipas,0.1,Норвегия,
http://www.wikidata.org/entity/Q4723949,Алгар-ду-Карван,0.393,Португалия,
http://www.wikidata.org/entity/Q4723949,Алгар-ду-Карван,39300,Португалия,
http://www.wikidata.org/entity/Q5351640,El Morado,3009,Чили,
http://www.wikidata.org/entity/Q5406247,Pitón Volcánico de Cancarix,622.49328,Испания,
http://www.wikidata.org/entity/Q5692054,Heart Peaks,275,Канада,базальт
http://www.wikidata.org/entity/Q5738164,Cabezo de San Ginés,169.65,Испания,
http://www.wikidata.org/entity/Q5763243,Cerro Santa Ana Natural Monument,1900,Венесуэла,
http://www.wikidata.org/entity/Q5763599,Maar de Hoya de Cervera,282.06912,Испания,
http://www.wikidata.org/entity/Q5848483,serra Perenxisa,171.03131,Испания,
http://www.wikidata.org/entity/Q5877194,Hogem Ranges,8867,Канада,
http://www.wikidata.org/entity/Q5960978,Jashak salt dome,3737,Иран,
http://www.wikidata.org/entity/Q5965238,La Serrota,165,Испания,гранит
http://www.wikidata.org/entity/Q6112670,Mount Jianglang,571,Китай,
http://www.wikidata.org/entity/Q6112670,Mount Jianglang,610,Китай,
http://www.wikidata.org/entity/Q6127682,Sierra de Caldereros,2373.0075,Испания,
http://www.wikidata.org/entity/Q6314698,Jupukka,0,Швеция,
http://www.wikidata.org/entity/Q6314698,Jupukka,55.265,Швеция,
http://www.wikidata.org/entity/Q6314698,Jupukka,82.69,Швеция,
http://www.wikidata.org/entity/Q6976461,Pullinki,0.01,Швеция,
http://www.wikidata.org/entity/Q6976461,Pullinki,0.1,Швеция,
http://www.wikidata.org/entity/Q6978819,Ålleberg,1.88,Швеция,
http://www.wikidata.org/entity/Q6978819,Ålleberg,70.032,Швеция,
http://www.wikidata.org/entity/Q6978819,Ålleberg,197.27,Швеция,
http://www.wikidata.org/entity/Q6978819,Ålleberg,199.16,Швеция,
http://www.wikidata.org/entity/Q6980127,Stargach,37,Греция,
http://www.wikidata.org/entity/Q6980127,Stargach,37,Болгария,
http://www.wikidata.org/entity/Q7193753,Pilanesberg,85,ЮАР,вулканические горные породы
http://www.wikidata.org/entity/Q7334615,Rincon Hill,0.096,США,
http://www.wikidata.org/entity/Q7706033,Tetas de Maria Guevara Natural Monument,16.5,Венесуэла,
http://www.wikidata.org/entity/Q7759382,The Ramparts,83,Канада,
http://www.wikidata.org/entity/Q9058909,Q9058909,474.83,Испания,
http://www.wikidata.org/entity/Q9337585,Skalná Alpa,529.913,Словакия,
http://www.wikidata.org/entity/Q9350424,Сырнена-Средна-Гора,2280,Болгария,
http://www.wikidata.org/entity/Q9350623,Sashtinska Sredna Gora,2300,Болгария,
http://www.wikidata.org/entity/Q11384845,Čtyři palice,37.9558,Чехия,гнейс
